Time_Stamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Fault_Detection
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,39.1,0,0
12:28:25 PM,0,4.89,0,9.78,9.78,0,0
12:28:25 PM,0,0,34.21,0,29.33,19.55,0
12:28:25 PM,0,9.78,107.53,0,0,63.54,0
12:28:25 PM,0,0,97.75,0,0,53.76,0
12:28:25 PM,0,0,87.98,0,0,34.21,0
12:28:25 PM,0,9.78,34.21,0,0,14.66,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,29.33,0,9.78,0,0,0
12:28:25 PM,0,19.55,0,0,39.1,0,0
12:28:25 PM,0,0,0,0,0,14.66,0
12:28:25 PM,0,0,117.3,0,14.66,141.74,0
12:28:25 PM,0,0,112.41,0,0,43.99,0
12:28:25 PM,0,0,87.98,0,0,58.65,0
12:28:25 PM,0,0,53.76,0,0,0,0
12:28:25 PM,0,0,4.89,0,0,0,0
12:28:25 PM,0,24.44,0,0,0,0,0
12:28:25 PM,0,0,0,4.89,0,0,0
12:28:25 PM,0,0,0,4.89,0,0,0
12:28:25 PM,0,4.89,0,0,0,14.66,0
12:28:25 PM,0,9.78,87.98,0,14.66,161.29,0
12:28:25 PM,0,0,97.75,0,14.66,122.19,0
12:28:25 PM,0,0,63.54,0,0,87.98,0
12:28:25 PM,0,0,48.88,0,0,4.89,0
12:28:25 PM,0,0,14.66,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,0,0,0,29.33,0,0
12:28:25 PM,0,19.55,0,0,4.89,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,34.21,73.31,0,9.78,141.74,0
12:28:25 PM,0,0,83.09,0,34.21,92.86,0
12:28:25 PM,0,0,53.76,0,0,97.75,0
12:28:25 PM,0,0,63.54,0,24.44,43.99,0
12:28:25 PM,0,0,4.89,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,43.99,0,0,0,0,0
12:28:25 PM,0,0,0,0,14.66,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,14.66,0,0,161.29,0
12:28:25 PM,0,0,102.64,4.89,0,131.96,0
12:28:25 PM,0,0,83.09,4.89,0,112.41,0
12:28:25 PM,0,0,78.2,0,29.33,53.76,0
12:28:25 PM,0,0,19.55,0,0,19.55,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,29.33,0,0
12:28:25 PM,0,24.44,0,4.89,19.55,0,0
12:28:25 PM,0,0,39.1,9.78,0,141.74,0
12:28:25 PM,0,4.89,117.3,24.44,0,107.53,0
12:28:25 PM,0,0,112.41,0,4.89,83.09,0
12:28:25 PM,0,0,92.86,0,9.78,19.55,0
12:28:25 PM,0,0,34.21,0,0,0,0
12:28:25 PM,0,0,0,0,4.89,0,0
12:28:25 PM,0,4.89,0,0,0,0,0
12:28:25 PM,0,0,0,0,4.89,0,0
12:28:25 PM,0,9.78,0,0,14.66,0,0
12:28:25 PM,0,0,0,0,0,131.96,0
12:28:25 PM,0,4.89,87.98,0,0,127.08,0
12:28:25 PM,0,0,102.64,0,0,83.09,0
12:28:25 PM,0,0,68.43,0,0,19.55,0
12:28:25 PM,0,0,39.1,0,0,14.66,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,4.89,0,0,9.78,0,0
12:28:25 PM,0,34.21,0,0,0,0,0
12:28:25 PM,0,0,0,0,24.44,87.98,0
12:28:25 PM,0,34.21,53.76,9.78,0,92.86,0
12:28:25 PM,0,0,83.09,0,0,78.2,0
12:28:25 PM,0,0,58.65,4.89,0,83.09,0
12:28:25 PM,0,0,53.76,0,0,19.55,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,0,0,0,4.89,0,0
12:28:25 PM,0,0,0,0,4.89,73.31,0
12:28:25 PM,0,19.55,4.89,0,0,83.09,0
12:28:25 PM,0,9.78,122.19,0,0,43.99,0
12:28:25 PM,0,0,73.31,0,0,39.1,0
12:28:25 PM,0,0,53.76,0,0,0,0
12:28:25 PM,0,0,4.89,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,9.78,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,24.44,0,0,9.78,53.76,0
12:28:25 PM,0,0,0,0,9.78,92.86,0
12:28:25 PM,0,0,136.85,0,0,48.88,0
12:28:25 PM,0,0,102.64,0,0,83.09,0
12:28:25 PM,0,0,97.75,0,4.89,39.1,0
12:28:25 PM,0,0,34.21,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,4.89,0,0,0
12:28:25 PM,0,0,0,0,34.21,0,0
12:28:25 PM,0,0,0,29.33,0,0,0
12:28:25 PM,0,4.89,0,4.89,0,151.52,0
12:28:25 PM,0,0,73.31,0,0,112.41,0
12:28:25 PM,0,0,78.2,0,0,117.3,0
12:28:25 PM,0,0,63.54,0,0,39.1,0
12:28:25 PM,0,0,34.21,4.89,0,9.78,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,34.21,0,0
12:28:25 PM,0,0,0,4.89,29.33,0,0
12:28:25 PM,0,0,0,0,14.66,102.64,0
12:28:25 PM,0,19.55,24.44,9.78,4.89,107.53,0
